code,note1,note2,note3,note4,note5
"CN71410QGX	",111111283,,,,
"SGH137XESK	",111111284,,,,
"SGH137XESV	",111111285,,,,
"SGH143X4YB	",111111286,,,,
"CN71410QJ0	",111111287,,,,
"SGH138XX4L	",111111288,,,,
"SGH139X9KV	",111111289,,,,
"SGH147XKJR	",111111290,,,,
"SGH139X9L6	",111111291,,,,
"CN71420JP2	",111111292,,,,
"SGH131XMF4	",111111293,,,,
"CN71240D5N	",111111294,,,,
"SGH141XEAR	",111111295,,,,
"CN712908LG	",111111296,,,,
"SGH141XEBE	",111111297,,,,
"SGH134XBN9	",111111298,,,,
"CN71410QHW	",111111299,,,,
"SGH134XBNN	",111111300,,,,
"SGH141XEBS	",111111301,,,,
"SGH147XJLA	",111111302,,,,
"SGH139X9KS	",111111303,,,,
"SGH143X4WS	",111111304,,,,
"CN71420JNX	",111111305,,,,
"SGH147XKJS	",111111306,,,,
"CN712908KM	",111111307,,,,
"SGH134XBN7	",111111308,,,,
"SGH139X9M3	",111111309,,,,
"SGH147XJKC	",111111310,,,,
"CN713406NP	",111111311,,,,
"SGH141XEBW	",111111312,,,,
"SSGH111X06M	",111111313,,,,
"SGH147XKEA	",111111314,,,,
"CN71420JNY	",111111315,,,,
"SGH139X9LN	",111111316,,,,
"SGH141XEBL	",111111317,,,,
"SGH147XKF8	",111111318,,,,
"CN714009RB	",111111319,,,,
"CN71420JNP	",111111320,,,,
"SGH147XA14	",111111321,,,,
"CN71420JNS	",111111322,,,,
"SGH143X4X6	",111111323,,,,
"CN713900LB	",111111324,,,,
"CN713900LP	",111111325,,,,
"CN714009R8	",111111326,,,,
"CN71420DBH	",111111327,,,,
"SGH141XB58	",111111328,,,,
"CN713900L9	",111111329,,,,
"CN713900LG	",111111330,,,,
"SGH140XV0N	",111111331,,,,
"SGH138XX3F	",111111332,,,,
"SGH141XE96	",111111333,,,,
"SGH143X4YS	",111111334,,,,
"SGH143X518	",111111335,,,,
"SGH143X52R	",111111336,,,,
"SGH143X54A	",111111337,,,,
"SGH147XA08	",111111338,,,,
"SGH147XET3	",111111339,,,,
"SGH147XJL7	",111111340,,,,
"SGH147XKFC	",111111341,,,,
"5294217	",111111342,,,,
"SGH147XKJ4	",111111343,,,,
"SGH147XKKT	",111111344,,,,
"SGH151YYH9	",111111345,,,,
"CN71410QDR	",111111346,,,,
"SGH15203H7	",111111347,,,,
"SGH15203NL	",111111348,,,,
"CN71460QDW	",111111349,,,,
"CN71470FKB	",111111350,,,,
"CN71500NJF	",111111351,,,,
"SGH134XF8P	",111111352,,,,
"SGH138X589	",111111353,,,,
"SGH141XA4T	",111111354,,,,
"SGH141XE97	",111111355,,,,
"SGH141XEC2	",111111356,,,,
"SGH143X4WK	",111111357,,,,
"SGH143X4YV	",111111358,,,,
"SGH143X519	",111111359,,,,
"SGH143X52T	",111111360,,,,
"SGH143X54H	",111111361,,,,
"SGH147XA12	",111111362,,,,
"SGH147XETE	",111111363,,,,
"SGH147XKE2	",111111364,,,,
"SGH147XKFE	",111111365,,,,
"5294223	",111111366,,,,
"SGH147XKJ7	",111111367,,,,
"CN71380VQX	",111111368,,,,
"SGH147XKKX	",111111369,,,,
"CN714009RM	",111111370,,,,
"SGH151YYHE	",111111371,,,,
"SGH15203H9	",111111372,,,,
"SGH15203NX	",111111373,,,,
"CN71460QF6	",111111374,,,,
"CN71470PWV	",111111375,,,,
"CN715011G0	",111111376,,,,
"SGH117XAD0	",111111377,,,,
"SGH137XERE	",111111378,,,,
"SGH138X58K	",111111379,,,,
"SGH141XB5L	",111111380,,,,
"SGH141XE9H	",111111381,,,,
"SGH141XEC3	",111111382,,,,
"SGH143X4WL	",111111383,,,,
